Source,Target,Type_Source,Type_Target,Weight
Afrika,Caesar,LOC,PER,3
Afrika,Italien,LOC,LOC,3
Afrika,Rom,LOC,LOC,5
Afrika,Sardinien,LOC,LOC,3
Afrika,Sicilien,LOC,LOC,3
Afrika,Spanien,LOC,LOC,4
Alexander,Caesar,PER,PER,5
Alexander,Rom,PER,LOC,5
Alpen,Caesar,LOC,PER,3
Alpen,Gallien,LOC,LOC,3
Alpen,Rom,LOC,LOC,6
Antiochos,Antiochia,PER,LOC,3
Antiochos,Syrien,PER,LOC,3
Armee,Caesar,ORG,PER,6
Armenien,Mesopotamien,LOC,LOC,5
Armenien,Rom,LOC,LOC,3
Armenier,Rom,LOC,LOC,5
Armenier,Syrien,LOC,LOC,3
Asien,Italien,LOC,LOC,4
Asien,Kilikien,LOC,LOC,4
Asien,Lucullus,LOC,PER,3
Asien,Pompeius,LOC,PER,3
Asien,Rom,LOC,LOC,4
Aushebung,Pompeius,LOC,PER,3
Bibulus,Cato,PER,PER,3
Bithynien,Kilikien,LOC,LOC,5
Bithynien,Pontus,LOC,LOC,5
Bithynien,Rom,LOC,LOC,3
Bithynien,Syrien,LOC,LOC,4
Bürgerschaft,Caesar,LOC,PER,5
Bürgerschaft,Cato,LOC,PER,4
Bürgerschaft,Pompeius,LOC,PER,3
Bürgerschaft,Republik,LOC,LOC,3
Bürgerschaft,Rom,LOC,LOC,7
Bürgerschaft,Senat,LOC,ORG,3
Caesar,Adriatisch meer,PER,LOC,3
Caesar,Afrika,PER,LOC,11
Caesar,Alexander,PER,PER,6
Caesar,Alexandreia,PER,LOC,6
Caesar,Alpen,PER,LOC,4
Caesar,Armee,PER,ORG,12
Caesar,Britannien,PER,LOC,5
Caesar,Brundisium,PER,LOC,5
Caesar,Bund,PER,LOC,4
Caesar,Bürgerschaft,PER,LOC,9
Caesar,Calvinus,PER,PER,3
Caesar,Catilina,PER,PER,4
Caesar,Cato,PER,PER,5
Caesar,Cicero,PER,PER,4
Caesar,Crassus,PER,PER,12
Caesar,Curio,PER,PER,5
Caesar,Dyrrhachion,PER,LOC,7
Caesar,Ebro,PER,LOC,3
Caesar,Gaius gracchus,PER,PER,5
Caesar,Gallien,PER,LOC,51
Caesar,Gergovia,PER,LOC,5
Caesar,Griechenland,PER,LOC,6
Caesar,Ilerda,PER,PER,4
Caesar,Illyrien,PER,LOC,3
Caesar,Italien,PER,LOC,36
Caesar,Kelt,PER,LOC,5
Caesar,Kleinasien,PER,LOC,3
Caesar,Kurie,PER,ORG,4
Caesar,Labienus,PER,PER,7
Caesar,Land,PER,LOC,3
Caesar,Loire,PER,LOC,4
Caesar,Lucius domitius,PER,PER,3
Caesar,Makedonien,PER,LOC,6
Caesar,Marcus antonius,PER,PER,3
Caesar,Marius,PER,PER,3
Caesar,Napoleon,PER,PER,4
Caesar,Nil,PER,LOC,3
Caesar,Pompeius,PER,PER,82
Caesar,Provinz,PER,LOC,4
Caesar,Ravenna,PER,LOC,5
Caesar,Reich,PER,LOC,7
Caesar,Republik,PER,LOC,4
Caesar,Rhede,PER,LOC,4
Caesar,Rhein,PER,LOC,12
Caesar,Rhone,PER,LOC,3
Caesar,Rom,PER,LOC,49
Caesar,Scipio,PER,PER,3
Caesar,Senat,PER,ORG,4
Caesar,Sicilien,PER,LOC,3
Caesar,Spanien,PER,LOC,18
Caesar,Stadt,PER,LOC,8
Caesar,Sueton caes,PER,PER,3
Caesar,Sulla,PER,PER,8
Caesar,Syrien,PER,LOC,6
Caesar,Ägypten,PER,LOC,9
Calvinus,Scipio,PER,PER,3
Capua,Caesar,LOC,PER,3
Catilina,Antonius,PER,PER,4
Catilina,Caesar,PER,PER,5
Catilina,Rom,PER,LOC,3
Cato,Caesar,PER,PER,6
Cato,Cicero,PER,PER,6
Cato,Pompeius,PER,PER,5
Cato,Rom,PER,LOC,3
Cato,Scipio,PER,PER,3
Cicero,Caesar,PER,PER,10
Cinna,Caesar,PER,PER,3
Cinna,Pompeius,PER,PER,3
Cinna,Sulla,PER,PER,4
Cisalpinische gallien,Caesar,LOC,PER,3
Cisalpinische gallien,Italien,LOC,LOC,3
Clodius,Caesar,PER,PER,5
Clodius,Cicero,PER,PER,5
Clodius,Pompeius,PER,PER,5
Clodius,Rom,PER,LOC,3
Corfinium,Pompeius,PER,PER,3
Crassus,Bürgerschaft,PER,LOC,3
Crassus,Caesar,PER,PER,19
Crassus,Italien,PER,LOC,5
Crassus,Pompeius,PER,PER,11
Crassus,Rom,PER,LOC,8
Crassus,Syrien,PER,LOC,5
Crassus,Ägypten,PER,LOC,3
Curio,Caesar,PER,PER,3
Curio,Pompeius,PER,PER,5
Curio,Utica,PER,LOC,4
Demokrat,Pompeius,ORG,PER,8
Diophanto,Taxiles,LOC,LOC,3
Dyrrhachion,Caesar,LOC,PER,3
Dyrrhachion,Pompeius,LOC,PER,3
Ebro,Ilerda,LOC,LOC,5
Ebro,Sicori,LOC,LOC,3
Edessa,Karrhä,LOC,LOC,3
Euphrat,Armenien,LOC,LOC,4
Euphrat,Rom,LOC,LOC,9
Euphrat,Tigris,LOC,LOC,6
Gabinius,Crassus,PER,PER,3
Gaius caesar,Sulla,PER,PER,3
Gallien,Afrika,LOC,LOC,3
Gallien,Bürgerschaft,LOC,LOC,4
Gallien,Caesar,LOC,PER,19
Gallien,Crassus,LOC,PER,3
Gallien,Italien,LOC,LOC,11
Gallien,Makedonien,LOC,LOC,3
Gallien,Narbo,LOC,LOC,4
Gallien,Pompeius,LOC,PER,18
Gallien,Pyrenäen,LOC,LOC,3
Gallien,Rhein,LOC,LOC,4
Gallien,Rom,LOC,LOC,14
Gallien,Spanien,LOC,LOC,7
Gallien,Syrien,LOC,LOC,3
Griechenland,Italien,LOC,LOC,3
Griechenland,Rom,LOC,LOC,6
Griechenland,Spanien,LOC,LOC,3
Häduer,Rom,LOC,LOC,3
Häduer,Vercingetorix,LOC,PER,4
Ilerda,Sicori,LOC,LOC,3
Illyrien,Caesar,LOC,PER,3
Italien,Afrika,LOC,LOC,3
Italien,Caesar,LOC,PER,26
Italien,Capua,LOC,LOC,4
Italien,Gallien,LOC,LOC,9
Italien,Griechenland,LOC,LOC,3
Italien,Kleinasien,LOC,LOC,3
Italien,Makedonien,LOC,LOC,4
Italien,Marcus antonius,LOC,PER,3
Italien,Mittelmeer,LOC,LOC,3
Italien,Pompeius,LOC,PER,11
Italien,Provinz,LOC,LOC,7
Italien,Rom,LOC,LOC,13
Italien,Spanien,LOC,LOC,13
Italien,Sulla,LOC,PER,3
Juba,Bürgerschaft,PER,LOC,3
Kappadokien,Euphrat,LOC,LOC,3
Kappadokien,Rom,LOC,LOC,3
Karrhä,Rom,LOC,LOC,3
Karthago,Korinth,LOC,LOC,3
Kelt,Caesar,LOC,PER,8
Kelt,Gallien,LOC,LOC,5
Kelt,Italien,LOC,LOC,3
Kelt,Rom,LOC,LOC,14
Kilikien,Kreta,LOC,LOC,3
Kilikien,Pompeius,LOC,PER,3
Kilikien,Rom,LOC,LOC,3
Kilikien,Syrien,LOC,LOC,4
Kleinasien,Pompeius,LOC,PER,4
Kleinasien,Rom,LOC,LOC,3
Kleinasien,Syrien,LOC,LOC,4
Kleinasien,Ägypten,LOC,LOC,3
Kyrene,Rom,LOC,LOC,3
Labienus,Caesar,PER,PER,3
Lasthen,Panares,PER,PER,3
Lasthen,Rom,PER,LOC,3
Lentulus,Catilina,PER,PER,3
Lepidus,Etrurien,PER,LOC,4
Luca,Caesar,PER,PER,3
Luca,Crassus,PER,PER,3
Luca,Pompeius,PER,PER,4
Lucius domitius,Pompeius,PER,PER,4
Lucius lucullus,Kleinasien,PER,LOC,4
Lucullus,Antiochia,PER,LOC,3
Lucullus,Armenien,PER,LOC,6
Lucullus,Armenier,PER,LOC,4
Lucullus,Artaxata,PER,LOC,3
Lucullus,Euphrat,PER,LOC,5
Lucullus,Mithradat,PER,PER,4
Lucullus,Parther,PER,LOC,3
Lucullus,Pompeius,PER,PER,20
Lucullus,Rom,PER,LOC,5
Lucullus,Syrien,PER,LOC,5
Lucullus,Tigranokerta,PER,LOC,3
Makedonien,Afrika,LOC,LOC,4
Makedonien,Griechenland,LOC,LOC,4
Makedonien,Italien,LOC,LOC,4
Makedonien,Kilikien,LOC,LOC,3
Makedonien,Kleinasien,LOC,LOC,3
Makedonien,Rom,LOC,LOC,4
Makedonien,Sicilien,LOC,LOC,3
Makedonien,Spanien,LOC,LOC,3
Makedonien,Syrien,LOC,LOC,3
Marcus antonius,Caesar,PER,PER,4
Marius,Cinna,PER,PER,5
Marius,Sulla,PER,PER,3
Massaliot,Caesar,LOC,PER,3
Mesopotamien,Lucullus,LOC,PER,3
Mesopotamien,Nisibis,LOC,LOC,3
Metellus,Pompeius,PER,PER,10
Milo,Clodius,PER,PER,3
Mithradat,Rom,PER,LOC,4
Mithradat,Tigranes,PER,PER,3
Mithradates,Kappadokien,PER,LOC,3
Mithradates,Pompeius,PER,PER,3
Mithradates,Rom,PER,LOC,5
Mithradates,Tigranes,PER,PER,3
Narbo,Italien,LOC,LOC,4
Narbo,Rom,LOC,LOC,3
Narbonensisch,Gallien,LOC,LOC,3
Nepos,Pompeius,PER,PER,4
Panares,Rom,PER,LOC,3
Partei,Pompeius,ORG,PER,3
Partei,Rom,ORG,LOC,4
Parther,Armenien,LOC,LOC,4
Parther,Armenier,LOC,LOC,3
Parther,Caesar,LOC,PER,4
Parther,Euphrat,LOC,LOC,4
Parther,Rom,LOC,LOC,7
Parther,Syrien,LOC,LOC,3
Perpenna,Ebro,PER,LOC,3
Pharnakes,Pompeius,PER,PER,3
Pompeius,Afrika,PER,LOC,6
Pompeius,Apulien,PER,LOC,5
Pompeius,Armee,PER,ORG,9
Pompeius,Armenien,PER,LOC,11
Pompeius,Armenier,PER,LOC,3
Pompeius,Asien,PER,LOC,5
Pompeius,Brundisium,PER,LOC,3
Pompeius,Bürgerschaft,PER,LOC,9
Pompeius,Caesar,LOC,PER,3
Pompeius,Caesar,PER,PER,92
Pompeius,Catilina,PER,PER,3
Pompeius,Cato,PER,PER,7
Pompeius,Cicero,PER,PER,5
Pompeius,Clodius,PER,PER,4
Pompeius,Crassus,PER,PER,26
Pompeius,Deiotarus,PER,PER,3
Pompeius,Demokrat,PER,ORG,3
Pompeius,Dyrrhachion,PER,LOC,6
Pompeius,Ebro,PER,LOC,3
Pompeius,Euphrat,PER,LOC,8
Pompeius,Gallien,PER,LOC,11
Pompeius,Glabrio,PER,PER,3
Pompeius,Griechenland,PER,LOC,4
Pompeius,Heer,PER,ORG,3
Pompeius,Ii,PER,LOC,3
Pompeius,Italien,PER,LOC,31
Pompeius,Kappadokien,PER,LOC,3
Pompeius,Kaukasus,PER,LOC,4
Pompeius,Kilikien,PER,LOC,7
Pompeius,Kleinasien,PER,LOC,5
Pompeius,Kreta,PER,LOC,3
Pompeius,Makedonien,PER,LOC,3
Pompeius,Marcus cato,PER,PER,3
Pompeius,Mesopotamien,PER,LOC,3
Pompeius,Metellus,PER,PER,5
Pompeius,Mithradat,PER,PER,7
Pompeius,Parther,PER,LOC,6
Pompeius,Pontus,PER,LOC,4
Pompeius,Pyrenäen,PER,LOC,3
Pompeius,Republikanisch partei,PER,ORG,3
Pompeius,Rom,PER,LOC,26
Pompeius,Römisch reich,PER,LOC,3
Pompeius,Scipio,PER,PER,5
Pompeius,Senat,PER,ORG,4
Pompeius,Sertorius,PER,PER,5
Pompeius,Sicori,LOC,LOC,3
Pompeius,Spanien,PER,LOC,19
Pompeius,Stadt,PER,LOC,8
Pompeius,Sulla,PER,PER,6
Pompeius,Syrien,PER,LOC,16
Pompeius,Thessalien,PER,LOC,3
Pompeius,Tigranes,PER,PER,5
Pontus,Kilikien,LOC,LOC,3
Pontus,Syrien,LOC,LOC,3
Provinz,Caesar,LOC,PER,4
Provinz,Italien,LOC,LOC,4
Provinz asia,Kilikien,LOC,LOC,3
Ptolemäos mennäos,Chalkis,PER,LOC,3
Ptolemäos mennäos,Sohn,PER,PER,3
Reich,Italien,LOC,LOC,4
Reich,Rom,LOC,LOC,5
Rhein,Kelt,LOC,LOC,3
Rhein,Rom,LOC,LOC,6
Rhone,Garonne,LOC,LOC,3
Rom,Alexander,LOC,PER,5
Rom,Alexandreia,LOC,LOC,4
Rom,Allobrog,LOC,LOC,4
Rom,Alpen,LOC,LOC,6
Rom,Armenien,LOC,LOC,8
Rom,Asien,LOC,LOC,3
Rom,Bithynien,LOC,LOC,6
Rom,Bürgerschaft,LOC,LOC,5
Rom,Caesar,LOC,PER,22
Rom,Cicero,LOC,PER,3
Rom,Cotta,LOC,PER,3
Rom,Gallien,LOC,LOC,8
Rom,Griechenland,LOC,LOC,3
Rom,Italien,LOC,LOC,21
Rom,Kelt,LOC,LOC,8
Rom,Kilikien,LOC,LOC,5
Rom,Kleinasien,LOC,LOC,4
Rom,Lucullus,LOC,PER,3
Rom,Mithradat,LOC,PER,5
Rom,Mittelmeer,LOC,LOC,6
Rom,Numa,LOC,PER,3
Rom,Paphlagonie,LOC,LOC,3
Rom,Pariser,LOC,LOC,3
Rom,Parther,LOC,LOC,3
Rom,Pompeius,LOC,PER,16
Rom,Reich,LOC,LOC,3
Rom,Rhein,LOC,LOC,5
Rom,Römisch provinz,LOC,LOC,3
Rom,Sohn,LOC,PER,4
Rom,Spanien,LOC,LOC,5
Rom,Syrien,LOC,LOC,5
Rom,Tigranes,LOC,PER,5
Rom,Varro,LOC,PER,3
Rom,Ägypten,LOC,LOC,4
Sardinien,Afrika,LOC,LOC,7
Scipio,Caesar,PER,PER,6
Scipio,Haliakmon,PER,PER,3
Scipio,Juba,PER,LOC,3
Sertorius,Metellus,PER,PER,3
Sertorius,Pompeius,PER,PER,3
Sertorius,Rom,PER,LOC,3
Sertorius,Spanien,PER,LOC,5
Sicilien,Afrika,LOC,LOC,5
Sicilien,Italien,LOC,LOC,3
Sicilien,Pompeius,LOC,PER,3
Sicilien,Sardinien,LOC,LOC,3
Sicilien,Spanien,LOC,LOC,3
Sohn,Chalkis,PER,LOC,3
Sohn,Rom,PER,LOC,4
Spanien,Afrika,LOC,LOC,13
Spanien,Caesar,LOC,PER,7
Spanien,Crassus,LOC,PER,3
Spanien,Ebro,LOC,LOC,3
Spanien,Gallien,LOC,LOC,7
Spanien,Italien,LOC,LOC,9
Spanien,Kilikien,LOC,LOC,3
Spanien,Kreta,LOC,LOC,3
Spanien,Makedonien,LOC,LOC,6
Spanien,Numidien,LOC,LOC,3
Spanien,Pompeius,LOC,PER,10
Spanien,Provinz,LOC,LOC,3
Spanien,Rom,LOC,LOC,5
Spanien,Sertorius,LOC,PER,6
Spanien,Sulla,LOC,PER,3
Spanien,Syrien,LOC,LOC,4
Spartacus,Rom,PER,LOC,3
Stadt,Caesar,LOC,PER,5
Stadt,Rom,LOC,LOC,4
Sulla,Caesar,PER,PER,7
Sulla,Italien,PER,LOC,5
Sulla,Pompeius,PER,PER,4
Sulla,Rom,PER,LOC,6
Syrien,Italien,LOC,LOC,4
Syrien,Pompeius,LOC,PER,6
Syrien,Rom,LOC,LOC,9
Syrien,Ägypten,LOC,LOC,4
Thessalien,Caesar,LOC,PER,3
Thraker,Rom,LOC,LOC,4
Tigris,Rom,LOC,LOC,4
Treverer,Labienus,LOC,PER,3
Varro,Cicero,PER,PER,3
Varro,Lucretius,PER,PER,3
Varro,Rom,PER,LOC,3
Vercingetorix,Alesia,PER,LOC,3
Vercingetorix,Caesar,PER,PER,6
Vercingetorix,Gergovia,PER,LOC,3
Vercingetorix,Rom,PER,LOC,3
Ägypten,Alexandreia,LOC,LOC,6
Ägypten,Caesar,LOC,PER,7
Ägypten,Italien,LOC,LOC,3
Ägypten,Kypro,LOC,PER,6
Ägypten,Pompeius,LOC,PER,10
Ägypten,Ptolemäos,LOC,PER,4
Ägypten,Rom,LOC,LOC,12
Ägypten,Syrien,LOC,LOC,5
